"Compound","C_Label","fraction","tissue","time"
"aspartate",1,0.002293408,"spleen",25
"aspartate",2,0.003941023,"spleen",25
"aspartate",3,0.000107512,"spleen",25
"aspartate",4,0.010084733,"spleen",25
"glutamate",1,0.003349529,"spleen",25
"glutamate",2,0.001477746,"spleen",25
"glutamate",3,0.008362696,"spleen",25
"glutamate",4,0,"spleen",25
"glutamate",5,0.022069835,"spleen",25
"succinate",1,0.006210595,"spleen",25
"succinate",2,0.009470378,"spleen",25
"succinate",3,0.000235269,"spleen",25
"succinate",4,0.019340785,"spleen",25
"malate",1,0.006951174,"spleen",25
"malate",2,0.007432944,"spleen",25
"malate",3,0.000183273,"spleen",25
"malate",4,0.017274078,"spleen",25
"aspartate",1,0.004025038,"spleen",25
"aspartate",2,0.004954405,"spleen",25
"aspartate",3,0.000479483,"spleen",25
"aspartate",4,0.015105205,"spleen",25
"glutamate",1,0.002866522,"quad",25
"glutamate",2,0.000859423,"quad",25
"glutamate",3,0.002691655,"quad",25
"glutamate",4,0,"quad",25
"glutamate",5,0.007107309,"quad",25
"succinate",1,0.003756174,"quad",25
"succinate",2,0.002084271,"quad",25
"succinate",3,7.98312e-06,"quad",25
"succinate",4,0.004169001,"quad",25
"malate",1,0.003124825,"quad",25
"malate",2,0.001752638,"quad",25
"malate",3,0,"quad",25
"malate",4,0.003570677,"quad",25
"aspartate",1,0,"quad",25
"aspartate",2,0.001275468,"quad",25
"aspartate",3,0,"quad",25
"aspartate",4,0.001079403,"quad",25
"glutamate",1,0.005884006,"quad",25
"glutamate",2,0.00159812,"quad",25
"glutamate",3,0.003258441,"quad",25
"glutamate",4,0,"quad",25
"glutamate",5,0.012633342,"quad",25
"succinate",1,0.005749091,"quad",25
"succinate",2,0.002768411,"quad",25
"succinate",3,1.92502e-05,"quad",25
"succinate",4,0.005709702,"quad",25
"malate",1,0.003338769,"quad",25
"malate",2,0.003195638,"quad",25
"malate",3,0,"quad",25
"malate",4,0.008520801,"quad",25
"aspartate",1,0,"quad",25
"aspartate",2,0.000528914,"quad",25
"aspartate",3,0,"quad",25
"aspartate",4,0.00210786,"quad",25
"glutamate",1,0.019480896,"pancreas",25
"glutamate",2,0.011084014,"pancreas",25
"glutamate",3,0.017670985,"pancreas",25
"glutamate",4,0,"pancreas",25
"glutamate",5,0.060882783,"pancreas",25
"succinate",1,0.027331661,"pancreas",25
"succinate",2,0.023668073,"pancreas",25
"succinate",3,0.00873551,"pancreas",25
"succinate",4,0.044402451,"pancreas",25
"malate",1,0.023998367,"pancreas",25
"malate",2,0.01949821,"pancreas",25
"malate",3,0.011457308,"pancreas",25
"malate",4,0.030521044,"pancreas",25
"aspartate",1,0.016756846,"pancreas",25
"aspartate",2,0.020108914,"pancreas",25
"aspartate",3,0.010365489,"pancreas",25
"aspartate",4,0.026487255,"pancreas",25
"glutamate",1,0.019177461,"pancreas",25
"glutamate",2,0.011247884,"pancreas",25
"glutamate",3,0.018117353,"pancreas",25
"glutamate",4,0,"pancreas",25
"glutamate",5,0.074450182,"pancreas",25
"succinate",1,0.028769353,"pancreas",25
"succinate",2,0.022505133,"pancreas",25
"succinate",3,0.012276168,"pancreas",25
"succinate",4,0.044137104,"pancreas",25
"malate",1,0.024825023,"pancreas",25
"malate",2,0.018562183,"pancreas",25
"malate",3,0.012530292,"pancreas",25
"malate",4,0.032487323,"pancreas",25
"aspartate",1,0.02013477,"pancreas",25
"aspartate",2,0.015461164,"pancreas",25
"aspartate",3,0.00675354,"pancreas",25
"aspartate",4,0.029686026,"pancreas",25
"glutamate",1,0.006814936,"lung",25
"glutamate",2,0.000925264,"lung",25
"glutamate",3,0.004166148,"lung",25
"glutamate",4,0,"lung",25
"glutamate",5,0.006929068,"lung",25
"succinate",1,0.005669621,"lung",25
"succinate",2,0.004725546,"lung",25
"succinate",3,0.000100529,"lung",25
"succinate",4,0.00601531,"lung",25
"malate",1,0.006987934,"lung",25
"malate",2,0.003401098,"lung",25
"malate",3,0.000911426,"lung",25
"malate",4,0.005058758,"lung",25
"aspartate",1,0.004032968,"lung",25
"aspartate",2,0.00340744,"lung",25
"aspartate",3,0.000958246,"lung",25
"aspartate",4,0.004964693,"lung",25
"glutamate",1,0.003610469,"lung",25
"glutamate",2,0.001596871,"lung",25
"glutamate",3,0.005492311,"lung",25
"glutamate",4,0,"lung",25
"glutamate",5,0.011322542,"lung",25
"succinate",1,0.007060998,"lung",25
"succinate",2,0.005617905,"lung",25
"succinate",3,0.000330109,"lung",25
"succinate",4,0.008375598,"lung",25
"malate",1,0.008707482,"lung",25
"malate",2,0.004503539,"lung",25
"malate",3,0.001052786,"lung",25
"malate",4,0.007420475,"lung",25
"aspartate",1,0.004953605,"lung",25
"aspartate",2,0.003914806,"lung",25
"aspartate",3,0.000157238,"lung",25
"aspartate",4,0.006554272,"lung",25
"glutamate",1,0.009581088,"liver",25
"glutamate",2,0.002187678,"liver",25
"glutamate",3,0.005990851,"liver",25
"glutamate",4,0,"liver",25
"glutamate",5,0.02994161,"liver",25
"succinate",1,0.012286811,"liver",25
"succinate",2,0.005327467,"liver",25
"succinate",3,0.004297666,"liver",25
"succinate",4,0.013853212,"liver",25
"malate",1,0.013086396,"liver",25
"malate",2,0.003786994,"liver",25
"malate",3,0.005033038,"liver",25
"malate",4,0.009207951,"liver",25
"aspartate",1,0.007143022,"liver",25
"aspartate",2,0.001923302,"liver",25
"aspartate",3,0.001455121,"liver",25
"aspartate",4,0.004569081,"liver",25
"glutamate",1,0.00640455,"liver",25
"glutamate",2,0.001722005,"liver",25
"glutamate",3,0.004609876,"liver",25
"glutamate",4,0,"liver",25
"glutamate",5,0.029857795,"liver",25
"succinate",1,0.013655327,"liver",25
"succinate",2,0.004110198,"liver",25
"succinate",3,0.003232585,"liver",25
"succinate",4,0.012476484,"liver",25
"malate",1,0.014835255,"liver",25
"malate",2,0.00326087,"liver",25
"malate",3,0.003471163,"liver",25
"malate",4,0.007793127,"liver",25
"aspartate",1,0.010889104,"liver",25
"aspartate",2,0.002470387,"liver",25
"aspartate",3,0.002439804,"liver",25
"aspartate",4,0.004381755,"liver",25
"glutamate",1,0.009380218,"kidney",25
"glutamate",2,0.002294577,"kidney",25
"glutamate",3,0.005784957,"kidney",25
"glutamate",4,0,"kidney",25
"glutamate",5,0.013708692,"kidney",25
"succinate",1,0.012091558,"kidney",25
"succinate",2,0.005181692,"kidney",25
"succinate",3,0.001504116,"kidney",25
"succinate",4,0.007608195,"kidney",25
"malate",1,0.011082009,"kidney",25
"malate",2,0.004573866,"kidney",25
"malate",3,0.001745601,"kidney",25
"malate",4,0.006019499,"kidney",25
"aspartate",1,0.010436876,"kidney",25
"aspartate",2,0.004280904,"kidney",25
"aspartate",3,0.001493807,"kidney",25
