"Compound","C_Label","fraction","tissue","time","omitFromFit"
"glutamate",1,0.050269199,"lung",90,FALSE
"glutamate",2,0.035797335,"lung",90,FALSE
"glutamate",3,0.006501751,"lung",90,FALSE
"succinate",1,0.054109412,"lung",90,FALSE
"succinate",2,0.034274595,"lung",90,FALSE
"succinate",3,0.00266685,"lung",90,FALSE
"malate",1,0.061491139,"lung",90,FALSE
"malate",2,0.034203748,"lung",90,FALSE
"malate",3,0.011434606,"lung",90,FALSE
"aspartate",1,0.049128533,"lung",90,FALSE
"aspartate",2,0.031955418,"lung",90,FALSE
"aspartate",3,0.011440496,"lung",90,FALSE
"glutamate",1,0.055528978,"pancreas",90,FALSE
"glutamate",2,0.0389327,"pancreas",90,FALSE
"glutamate",3,0.00799604,"pancreas",90,FALSE
"succinate",1,0.058428983,"pancreas",90,FALSE
"succinate",2,0.030899022,"pancreas",90,FALSE
"succinate",3,0.002628222,"pancreas",90,FALSE
"malate",1,0.054145389,"pancreas",90,FALSE
"malate",2,0.025888652,"pancreas",90,FALSE
"malate",3,0.012098956,"pancreas",90,FALSE
"aspartate",1,0.053124385,"pancreas",90,FALSE
"aspartate",2,0.027470747,"pancreas",90,FALSE
"aspartate",3,0.008273078,"pancreas",90,FALSE
"glutamate",1,0.046725198,"pancreas",90,FALSE
"glutamate",2,0.030281717,"pancreas",90,FALSE
"glutamate",3,0.007085154,"pancreas",90,FALSE
"succinate",1,0.045709431,"pancreas",90,FALSE
"succinate",2,0.026861279,"pancreas",90,FALSE
"succinate",3,0.002630277,"pancreas",90,FALSE
"malate",1,0.046600544,"pancreas",90,FALSE
"malate",2,0.024256221,"pancreas",90,FALSE
"malate",3,0.012159556,"pancreas",90,FALSE
"aspartate",1,0.040714197,"pancreas",90,FALSE
"aspartate",2,0.02180155,"pancreas",90,FALSE
"aspartate",3,0.011821648,"pancreas",90,FALSE
"glutamate",1,0.040308973,"skin",90,FALSE
"glutamate",2,0.047704232,"skin",90,FALSE
"glutamate",3,0.0077302,"skin",90,FALSE
"succinate",1,0.052579917,"skin",90,FALSE
"succinate",2,0.043657307,"skin",90,FALSE
"succinate",3,0.004118664,"skin",90,FALSE
"malate",1,0.063858975,"skin",90,FALSE
"malate",2,0.038869356,"skin",90,FALSE
"malate",3,0.012660147,"skin",90,FALSE
"aspartate",1,0.03492447,"skin",90,FALSE
"aspartate",2,0.023773434,"skin",90,FALSE
"aspartate",3,0.009119259,"skin",90,FALSE
"glutamate",1,0.035033807,"skin",90,FALSE
"glutamate",2,0.037910676,"skin",90,FALSE
"glutamate",3,0.007537577,"skin",90,FALSE
"succinate",1,0.042898428,"skin",90,FALSE
"succinate",2,0.035584056,"skin",90,FALSE
"succinate",3,0.002663506,"skin",90,FALSE
"malate",1,0.047661627,"skin",90,FALSE
"malate",2,0.028920027,"skin",90,FALSE
"malate",3,0.012797238,"skin",90,FALSE
"aspartate",1,0.032425101,"skin",90,FALSE
"aspartate",2,0.02236501,"skin",90,FALSE
"aspartate",3,0.010568396,"skin",90,FALSE
"glutamate",1,0.040291622,"white adipose",90,TRUE
"glutamate",2,0.034594523,"white adipose",90,TRUE
